#          T          mu       sigma           H       Error
   0.0467172    0.725961    0.631842   -0.421356  0.00184377
   0.0457829    0.781254    0.595056   -0.438347  0.00143789
   0.0448672    0.761367     0.74838   -0.358918  0.00412723
   0.0439699    0.801346    0.599113    -0.44344  0.00144846
   0.0430905    0.768016     0.64062   -0.437005  0.00182862
   0.0422287    0.643287    0.728848    -0.34777  0.00304358
   0.0413841    0.774042    0.508704   -0.324439  0.00433649
   0.0405564    0.749437    0.615918   -0.433874  0.00179026
   0.0397453    0.748893    0.709282   -0.399077  0.00315512
   0.0389504    0.822441    0.742953   -0.352789  0.00540995
   0.0381714    0.885433      0.6273    -0.41668  0.00265866
   0.0374079    0.791893    0.673588   -0.421701  0.00249645
   0.0366598    0.562158    0.590498   -0.256602  0.00266436
   0.0359266    0.777935    0.509808   -0.325827  0.00435239
   0.0352081    0.748191    0.683685   -0.410574  0.00301301
   0.0345039    0.617357    0.687234   -0.342475  0.00265351
   0.0338138    0.680365    0.728371   -0.369058  0.00317817
   0.0331375    0.803308    0.664277   -0.428977  0.00329025
   0.0324748    0.839244    0.635972   -0.435196   0.0021002
   0.0318253    0.803492    0.687958   -0.413082  0.00281659
   0.0311888    0.773339    0.595522   -0.440084  0.00164993
    0.030565    0.713503     0.55869   -0.393803  0.00237859
   0.0299537    0.774113    0.672553   -0.415035  0.00293592
   0.0293546    0.789751    0.656699   -0.438474  0.00231654
   0.0287675    0.790868    0.614757   -0.443401   0.0015653
   0.0281922    0.880774    0.628344   -0.419788  0.00232399
   0.0276283    0.778245    0.623231   -0.437309  0.00199492
   0.0270758     0.80576    0.692589   -0.408974  0.00348402
   0.0265343    0.792528    0.620205   -0.441202  0.00176855
   0.0260036    0.856959    0.625817   -0.429747  0.00248723
   0.0254835    0.793235    0.588463   -0.442073  0.00182465
   0.0249738    0.717379    0.671244   -0.411899  0.00191568
   0.0244744    0.715669    0.674699   -0.409139  0.00253755
   0.0239849    0.744246    0.583108   -0.424197  0.00163753
   0.0235052    0.817719    0.605929   -0.442647  0.00192853
   0.0230351    0.834286    0.583862   -0.433835  0.00176583
   0.0225744    0.899645    0.563212   -0.374644   0.0022832
   0.0221229     1.01864    0.616063   -0.242819  0.00473632
   0.0216804     0.83991    0.625959    -0.43694  0.00243663
   0.0212468    0.726517    0.578732   -0.415289  0.00178731
   0.0208219    0.812731    0.619266   -0.445274  0.00180963
   0.0204054    0.910654    0.620732   -0.398497  0.00276115
   0.0199973    0.766139    0.600374    -0.43811  0.00164291
   0.0195974    0.748465    0.607912   -0.435182  0.00156838
   0.0192054    0.772626    0.668334   -0.426318  0.00252664
   0.0188213    0.739402    0.587091   -0.423354  0.00152245
   0.0184449    0.727603    0.555932   -0.393169  0.00251104
    0.018076    0.784643    0.574957   -0.428079  0.00202312
   0.0177145    0.867593    0.652206   -0.417502  0.00344151
   0.0173602    0.780534    0.632699   -0.445319  0.00206008
    0.017013    0.755366    0.598688   -0.432498  0.00162717
   0.0166727    0.730337    0.608997   -0.427489  0.00166572
   0.0163393    0.797266    0.589265   -0.439641  0.00197216
   0.0160125    0.769336    0.593085   -0.437669  0.00180481
