# DISTANCE:     AVE_GOFR:        ERROR:
     2.26999      1.0588  0.00239685
     2.29564     1.04045  0.00397765
     2.32129     1.01546   0.0042743
     2.34694    0.985691  0.00877812
     2.37259    0.969745  0.00646839
     2.39824    0.940029   0.0068919
     2.42389    0.921817  0.00821385
     2.44954    0.915347   0.0103569
     2.47519     0.90119  0.00802603
     2.50084    0.899256  0.00633067
     2.52649    0.891779  0.00535911
     2.55214      0.8932  0.00465748
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000802421 0.000304679
    0.910562   0.0235656  0.00172915
    0.936212    0.177142  0.00532132
    0.961861    0.593755  0.00525112
    0.987511      1.2335    0.012531
     1.01316     1.88038   0.0134663
     1.03881     2.34225   0.0209648
     1.06446     2.54676   0.0107137
     1.09011     2.55427   0.0122447
     1.11576     2.37909   0.0226955
     1.14141     2.16191   0.0205346
     1.16706     1.94288  0.00993847
     1.19271       1.756  0.00997343
     1.21836     1.53729   0.0161723
     1.24401     1.36721   0.0122025
     1.26966     1.24184   0.0126501
     1.29531     1.11832   0.0123901
     1.32096     1.02584  0.00953133
     1.34661      0.9473   0.0085753
     1.37226    0.876574  0.00367686
     1.39791    0.804522  0.00399179
     1.42355     0.77244  0.00852909
      1.4492    0.741396   0.0140875
     1.47485    0.725058  0.00955041
      1.5005    0.698205  0.00551914
     1.52615     0.67453  0.00760705
      1.5518    0.671975  0.00615213
     1.57745    0.684028  0.00435003
      1.6031    0.682528  0.00664363
     1.62875    0.689813  0.00656283
      1.6544    0.707501  0.00714359
     1.68005    0.732709  0.00777685
      1.7057    0.764186  0.00641311
     1.73135    0.774344  0.00706986
       1.757    0.816767  0.00715476
     1.78265    0.849792   0.0102559
      1.8083    0.878112  0.00750139
     1.83395    0.931141  0.00713011
      1.8596    0.981358  0.00614288
     1.88525     1.03439  0.00959514
