#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         234     1.74804     1.50499  0.00495418
         235     1.43806      1.5047  0.00494127
         236       1.513     1.50474  0.00492046
         237     1.48406     1.50465  0.00490047
         238     1.46471     1.50448  0.00488276
         239     1.45601     1.50428  0.00486653
         240     1.55822      1.5045  0.00485144
         241     1.49047     1.50444  0.00483166
         242     1.55411     1.50465  0.00481605
         243     1.53832     1.50479  0.00479823
         244     1.43695     1.50451  0.00478661
         245     1.50111      1.5045  0.00476709
         246      1.4171     1.50414  0.00476093
         247     1.46796     1.50399  0.00474391
         248      1.6021     1.50439  0.00474125
         249     1.46874     1.50425  0.00472437
         250     1.66843      1.5049   0.0047509
