# Generation                                                Route                                                 L(1)
     104       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 29 16 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26      12.5022
     105       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     106       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     107       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     108       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     109       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     110       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     111       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     112       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     113       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     114       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     115       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     116       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     117       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     118       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     119       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     120       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     121       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     122       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     123       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     124       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     125       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     126       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 18 3 30 26       12.342
     127       1 14 20 22 30 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 19 28 17 26      12.2335
     128       1 14 20 22 30 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 19 28 17 26      12.2335
     129       1 14 20 22 30 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 19 28 17 26      12.2335
     130       1 14 20 22 30 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 19 28 17 26      12.2335
