# Generation                                                Route                                                 L(1)
     101       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 6 16 32 33 9 28 34 20 7 3 22 26 13 12 10 19 14 21 8      8.77795
     102       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 34 20 6 16 32 9 7 3 22 26 13 12 10 19 14 21 8      8.46317
     103       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 34 20 6 16 32 9 7 3 22 26 13 12 10 19 14 21 8      8.46317
     104       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 6 16 33 28 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32325
     105       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     106       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     107       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     108       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     109       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     110       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     111       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     112       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     113       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
     114       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8      8.32243
