#          T          mu       sigma           H       Error
   0.0282062    0.746239    0.662471   -0.419826  0.00745007
   0.0276421    0.840116    0.667216   -0.424707  0.00731684
   0.0270892     0.78922    0.652462   -0.434596   0.0066371
   0.0265475    0.718038    0.601822   -0.421751  0.00459385
   0.0260165     0.82012     0.59383   -0.443959  0.00563868
   0.0254962    0.720587    0.690832   -0.410684   0.0076016
   0.0249863    0.731569    0.688071   -0.407708  0.00763696
   0.0244865    0.706893     0.57058   -0.391296  0.00562943
   0.0239968    0.642664      0.5636   -0.344415  0.00730212
   0.0235169    0.733519    0.649556   -0.428486  0.00438818
   0.0230465    0.716792    0.560414   -0.406843  0.00836052
   0.0225856    0.740795    0.602241   -0.433016   0.0055219
   0.0221339    0.746577    0.648112   -0.420605  0.00818235
   0.0216912    0.763455    0.635579   -0.442282  0.00415714
   0.0212574    0.781605    0.637338   -0.442036  0.00547271
   0.0208322    0.739723    0.635777   -0.424787  0.00620268
   0.0204156    0.757371     0.59319   -0.435064  0.00383787
   0.0200073    0.856731    0.635213   -0.438695  0.00784262
   0.0196071    0.823477    0.658354   -0.435498  0.00649424
    0.019215    0.795804    0.670732   -0.435142  0.00561819
   0.0188307    0.708377    0.638514   -0.424885  0.00480866
   0.0184541    0.697083    0.696589   -0.389072  0.00890422
    0.018085    0.711267      0.6094   -0.412562  0.00549524
   0.0177233    0.732788    0.574975   -0.414988  0.00598897
   0.0173688    0.849962    0.640559   -0.423573  0.00783165
   0.0170215    0.791981    0.686404   -0.428031  0.00956538
    0.016681    0.770658    0.722989   -0.385999   0.0102127
   0.0163474    0.758926    0.666953   -0.433117  0.00761522
   0.0160205    0.802091    0.572207   -0.425304  0.00722952
      0.0157    0.762688    0.617763   -0.439034  0.00556572
    0.015386    0.751017    0.633678   -0.444761  0.00466025
   0.0150783    0.757305     0.59419   -0.430587  0.00599166
   0.0147768    0.726699    0.551364   -0.397473  0.00896561
   0.0144812    0.734101    0.558851   -0.416072  0.00819739
   0.0141916    0.721643     0.59164   -0.415559  0.00508894
   0.0139078    0.719654    0.555813   -0.393946  0.00852867
   0.0136296    0.716625    0.564634   -0.395284  0.00661109
