#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         202     1.65989     1.64276  0.00195562
         203      1.6592     1.64284  0.00194766
         204     1.65853     1.64292  0.00193963
         205     1.65787     1.64299  0.00193154
         206     1.65723     1.64306   0.0019234
         207      1.6566     1.64313  0.00191522
         208       1.656     1.64319  0.00190701
         209     1.65541     1.64325  0.00189878
         210     1.65484      1.6433  0.00189054
         211     1.65429     1.64335   0.0018823
         212     1.65377      1.6434  0.00187406
         213     1.65327     1.64345  0.00186584
         214     1.65279     1.64349  0.00185763
         215     1.65235     1.64354  0.00184945
         216     1.65193     1.64357  0.00184129
         217     1.65155     1.64361  0.00183317
         218      1.6512     1.64365  0.00182509
         219     1.65088     1.64368  0.00181706
         220      1.6506     1.64371  0.00180907
         221     1.65036     1.64374  0.00180114
         222     1.65016     1.64377  0.00179326
         223        1.65      1.6438  0.00178543
         224     1.64989     1.64382  0.00177767
         225     1.64982     1.64385  0.00176997
         226      1.6498     1.64388  0.00176233
         227     1.64983      1.6439  0.00175476
         228      1.6499     1.64393  0.00174726
         229     1.65003     1.64396  0.00173984
         230      1.6502     1.64398  0.00173248
         231     1.65043     1.64401  0.00172521
         232      1.6507     1.64404  0.00171801
         233     1.65102     1.64407   0.0017109
         234     1.65139      1.6441  0.00170388
         235     1.65181     1.64413  0.00169694
         236     1.65227     1.64417   0.0016901
         237     1.65278     1.64421  0.00168336
         238     1.65332     1.64424  0.00167672
         239      1.6539     1.64428  0.00167019
         240     1.65452     1.64433  0.00166378
         241     1.65517     1.64437  0.00165748
         242     1.65584     1.64442  0.00165131
         243     1.65655     1.64447  0.00164527
         244     1.65727     1.64452  0.00163936
         245     1.65801     1.64458   0.0016336
         246     1.65877     1.64463  0.00162797
         247     1.65954     1.64469   0.0016225
         248     1.66032     1.64476  0.00161718
         249      1.6611     1.64482  0.00161202
         250     1.66189     1.64489  0.00160702
         251     1.66268     1.64496  0.00160217
         252     1.66347     1.64504   0.0015975
         253     1.66425     1.64511  0.00159299
         254     1.66503     1.64519  0.00158865
         255     1.66581     1.64527  0.00158447
         256     1.66657     1.64535  0.00158047
         257     1.66733     1.64544  0.00157663
         258     1.66808     1.64553  0.00157296
         259     1.66883     1.64562  0.00156946
         260     1.66956     1.64571  0.00156612
         261     1.67029      1.6458  0.00156295
         262     1.67101      1.6459  0.00155994
         263     1.67173       1.646   0.0015571
         264     1.67244      1.6461  0.00155442
         265     1.67314      1.6462   0.0015519
         266     1.67384      1.6463  0.00154954
