#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         268   -0.918201   -0.874287  0.00232117
         269   -0.919236   -0.874454  0.00231854
         270   -0.920279   -0.874624  0.00231616
         271    -0.92132   -0.874796  0.00231402
         272   -0.922368   -0.874971  0.00231211
         273   -0.923407   -0.875148  0.00231044
         274   -0.924455   -0.875328    0.002309
         275   -0.925504   -0.875511   0.0023078
         276    -0.92655   -0.875696  0.00230684
         277   -0.927596   -0.875883  0.00230611
         278    -0.92864   -0.876073  0.00230561
         279   -0.929687   -0.876265  0.00230534
         280    -0.93072   -0.876459  0.00230529
         281   -0.931745   -0.876656  0.00230547
         282   -0.932759   -0.876855  0.00230586
         283   -0.933761   -0.877056  0.00230646
         284   -0.934749   -0.877259  0.00230727
         285   -0.935716   -0.877464  0.00230827
         286   -0.936655   -0.877671  0.00230946
         287   -0.937564    -0.87788  0.00231083
         288   -0.938447    -0.87809  0.00231235
         289   -0.939301   -0.878302  0.00231403
         290   -0.940106   -0.878515  0.00231584
         291   -0.940868    -0.87873  0.00231778
         292   -0.941586   -0.878945  0.00231981
         293   -0.942263   -0.879161  0.00232194
         294   -0.942882   -0.879378  0.00232414
         295   -0.943449   -0.879595  0.00232638
         296   -0.943954   -0.879812  0.00232866
         297     -0.9444    -0.88003  0.00233095
         298   -0.944782   -0.880247  0.00233324
         299   -0.945105   -0.880464   0.0023355
         300   -0.945359    -0.88068  0.00233771
         301    -0.94554   -0.880896  0.00233985
         302   -0.945655    -0.88111  0.00234191
         303   -0.945707   -0.881323  0.00234386
         304   -0.945689   -0.881535   0.0023457
         305     -0.9456   -0.881745  0.00234739
         306   -0.945449   -0.881953  0.00234893
         307   -0.945228   -0.882159  0.00235031
         308   -0.944946   -0.882363   0.0023515
         309   -0.944605   -0.882565   0.0023525
         310   -0.944212   -0.882764   0.0023533
         311   -0.943768    -0.88296   0.0023539
         312   -0.943279   -0.883153  0.00235428
         313   -0.942748   -0.883343  0.00235444
         314   -0.942183   -0.883531  0.00235439
         315   -0.941596   -0.883715  0.00235412
         316   -0.940989   -0.883896  0.00235364
         317   -0.940367   -0.884075  0.00235294
         318   -0.939738    -0.88425  0.00235205
         319   -0.939116   -0.884422  0.00235095
         320   -0.938504   -0.884591  0.00234967
         321    -0.93791   -0.884757  0.00234822
         322   -0.937348    -0.88492   0.0023466
         323   -0.936816   -0.885081  0.00234483
         324   -0.936331   -0.885239  0.00234292
         325    -0.93589   -0.885395  0.00234089
         326   -0.935504   -0.885548  0.00233875
         327   -0.935182     -0.8857  0.00233652
         328    -0.93492    -0.88585  0.00233421
         329   -0.934734   -0.885999  0.00233184
         330   -0.934616   -0.886146  0.00232942
         331   -0.934561   -0.886292  0.00232697
         332   -0.934578   -0.886438   0.0023245
         333   -0.934666   -0.886583  0.00232203
         334   -0.934823   -0.886727  0.00231956
         335   -0.935042   -0.886871  0.00231712
         336   -0.935323   -0.887016  0.00231471
         337   -0.935662    -0.88716  0.00231233
         338   -0.936054   -0.887305  0.00231001
         339   -0.936489    -0.88745  0.00230775
         340   -0.936957   -0.887595  0.00230555
         341   -0.937464   -0.887742  0.00230342
         342   -0.937995   -0.887889  0.00230137
         343   -0.938543   -0.888036   0.0022994
         344   -0.939097   -0.888185   0.0022975
         345   -0.939654   -0.888334  0.00229568
         346   -0.940213   -0.888484  0.00229393
         347   -0.940759   -0.888634  0.00229226
         348   -0.941292   -0.888786  0.00229067
         349   -0.941804   -0.888938  0.00228913
         350   -0.942291    -0.88909  0.00228766
         351   -0.942742   -0.889243  0.00228625
         352    -0.94316   -0.889396  0.00228488
         353   -0.943538   -0.889549  0.00228355
         354   -0.943882   -0.889703  0.00228225
         355   -0.944181   -0.889856  0.00228097
         356   -0.944441    -0.89001  0.00227971
         357   -0.944659   -0.890163  0.00227846
         358   -0.944836   -0.890316  0.00227721
         359   -0.944968   -0.890468  0.00227595
         360   -0.945055   -0.890619  0.00227467
         361   -0.945103    -0.89077  0.00227337
         362   -0.945114    -0.89092  0.00227204
         363   -0.945083    -0.89107  0.00227068
         364   -0.945016   -0.891218  0.00226927
