#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         421     2.10564     2.10452  0.00559159
         422     2.10009     2.10451  0.00557835
         423     2.09452     2.10449  0.00556522
         424     2.08894     2.10445  0.00555221
         425      2.0834      2.1044  0.00553937
         426      2.0779     2.10434  0.00552671
         427     2.07247     2.10427  0.00551427
         428     2.06713     2.10418  0.00550207
         429     2.06191     2.10408  0.00549013
         430     2.05682     2.10397  0.00547846
         431     2.05188     2.10385  0.00546708
         432     2.04712     2.10372  0.00545601
         433     2.04254     2.10358  0.00544523
         434     2.03817     2.10343  0.00543477
         435     2.03402     2.10327  0.00542462
         436     2.03009      2.1031  0.00541477
         437     2.02639     2.10292  0.00540523
         438     2.02293     2.10274  0.00539597
         439     2.01971     2.10255  0.00538699
         440     2.01674     2.10236  0.00537828
         441     2.01401     2.10216  0.00536981
         442     2.01151     2.10195  0.00536158
         443     2.00925     2.10174  0.00535356
         444     2.00722     2.10153  0.00534573
         445     2.00541     2.10131  0.00533808
         446     2.00382     2.10109  0.00533059
         447     2.00243     2.10087  0.00532323
         448     2.00124     2.10065  0.00531599
         449     2.00024     2.10043  0.00530885
         450     1.99942      2.1002   0.0053018
         451     1.99877     2.09998  0.00529481
         452     1.99829     2.09975  0.00528787
         453     1.99796     2.09953  0.00528097
         454     1.99777      2.0993  0.00527409
         455     1.99773     2.09908  0.00526722
         456     1.99783     2.09886  0.00526035
         457     1.99805     2.09864  0.00525347
         458     1.99839     2.09842  0.00524655
         459     1.99885      2.0982   0.0052396
         460     1.99943     2.09799  0.00523261
         461     2.00012     2.09778  0.00522557
         462     2.00091     2.09757  0.00521846
         463     2.00182     2.09736  0.00521129
         464     2.00283     2.09716  0.00520403
         465     2.00394     2.09695   0.0051967
         466     2.00516     2.09676  0.00518928
         467     2.00648     2.09656  0.00518177
         468     2.00791     2.09638  0.00517416
         469     2.00945     2.09619  0.00516645
         470     2.01109     2.09601  0.00515863
         471     2.01284     2.09583  0.00515069
         472     2.01469     2.09566  0.00514265
         473     2.01664     2.09549  0.00513449
         474      2.0187     2.09533  0.00512621
         475     2.02086     2.09517  0.00511782
         476     2.02311     2.09502  0.00510931
         477     2.02544     2.09488  0.00510068
         478     2.02786     2.09474  0.00509193
         479     2.03035      2.0946  0.00508307
         480     2.03291     2.09447  0.00507411
         481     2.03552     2.09435  0.00506504
         482     2.03817     2.09423  0.00505587
         483     2.04085     2.09412  0.00504661
         484     2.04355     2.09402  0.00503727
         485     2.04625     2.09392  0.00502785
         486     2.04895     2.09383  0.00501835
         487     2.05163     2.09374   0.0050088
         488     2.05427     2.09366  0.00499918
         489     2.05688     2.09359  0.00498953
         490     2.05943     2.09352  0.00497983
         491     2.06191     2.09345  0.00497011
         492     2.06432     2.09339  0.00496036
         493     2.06665     2.09334  0.00495059
         494     2.06889     2.09329  0.00494082
         495     2.07103     2.09324  0.00493104
         496     2.07307      2.0932  0.00492127
         497       2.075     2.09317   0.0049115
         498     2.07682     2.09313  0.00490175
         499     2.07852      2.0931  0.00489201
         500     2.08009     2.09308   0.0048823
         501     2.08154     2.09306  0.00487261
         502     2.08286     2.09304  0.00486294
         503     2.08405     2.09302  0.00485331
         504      2.0851       2.093   0.0048437
         505     2.08602     2.09299  0.00483413
         506     2.08679     2.09298  0.00482459
         507     2.08742     2.09296  0.00481509
         508      2.0879     2.09295  0.00480562
         509     2.08823     2.09295  0.00479619
         510      2.0884     2.09294  0.00478679
         511     2.08841     2.09293  0.00477743
         512     2.08825     2.09292  0.00476811
         513     2.08792     2.09291  0.00475883
         514      2.0874      2.0929  0.00474958
         515      2.0867     2.09289  0.00474037
         516     2.08579     2.09287  0.00473121
         517     2.08468     2.09286  0.00472208
         518     2.08336     2.09284    0.004713
         519      2.0818     2.09282  0.00470397
         520     2.08001     2.09279  0.00469499
         521     2.07797     2.09276  0.00468606
         522     2.07567     2.09273   0.0046772
         523      2.0731     2.09269  0.00466841
         524     2.07025     2.09265  0.00465969
         525     2.06711      2.0926  0.00465107
         526     2.06367     2.09255  0.00464255
