#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         233    -1.65022    -1.48071    0.011241
         234    -1.65393    -1.48145   0.0112173
         235    -1.65748     -1.4822   0.0111945
         236    -1.66089    -1.48296   0.0111727
         237    -1.66411    -1.48372   0.0111516
         238    -1.66715    -1.48449   0.0111314
         239    -1.66997    -1.48527   0.0111118
         240    -1.67257    -1.48605   0.0110929
         241    -1.67491    -1.48683   0.0110745
         242    -1.67699    -1.48762   0.0110566
         243    -1.67877     -1.4884   0.0110391
         244    -1.68023    -1.48919   0.0110218
         245    -1.68135    -1.48997   0.0110047
         246    -1.68213    -1.49075   0.0109876
         247    -1.68253    -1.49153   0.0109705
         248    -1.68253     -1.4923   0.0109533
         249    -1.68213    -1.49306   0.0109358
         250    -1.68131    -1.49382   0.0109179
         251    -1.68006    -1.49456   0.0108996
         252    -1.67836    -1.49529   0.0108808
         253    -1.67622      -1.496   0.0108612
         254    -1.67362     -1.4967    0.010841
         255    -1.67057    -1.49738   0.0108199
         256    -1.66707    -1.49805   0.0107979
         257    -1.66312    -1.49869    0.010775
         258    -1.65874    -1.49931    0.010751
         259    -1.65394    -1.49991   0.0107261
         260    -1.64873    -1.50048   0.0107001
         261    -1.64314    -1.50103    0.010673
         262    -1.63718    -1.50155    0.010645
         263    -1.63089    -1.50204   0.0106158
         264     -1.6243     -1.5025   0.0105857
         265    -1.61745    -1.50293   0.0105547
         266    -1.61037    -1.50334   0.0105227
         267    -1.60311    -1.50371   0.0104899
         268    -1.59572    -1.50405   0.0104564
         269    -1.58823    -1.50437   0.0104222
         270     -1.5807    -1.50465   0.0103874
         271    -1.57319     -1.5049   0.0103522
         272    -1.56574    -1.50513   0.0103166
         273     -1.5584    -1.50532   0.0102806
         274    -1.55122    -1.50549   0.0102445
         275    -1.54426    -1.50563   0.0102082
         276    -1.53758    -1.50575   0.0101718
         277    -1.53122    -1.50584   0.0101355
         278    -1.52522    -1.50591   0.0100993
         279    -1.51964    -1.50596   0.0100632
         280    -1.51451    -1.50599   0.0100273
         281    -1.50987      -1.506  0.00999167
         282    -1.50576      -1.506  0.00995624
         283     -1.5022    -1.50599  0.00992106
         284    -1.49922    -1.50596  0.00988616
         285    -1.49685    -1.50593  0.00985152
         286    -1.49508    -1.50589  0.00981715
         287    -1.49393    -1.50585  0.00978303
         288    -1.49341    -1.50581  0.00974916
         289    -1.49351    -1.50577  0.00971552
         290    -1.49423    -1.50573   0.0096821
         291    -1.49557    -1.50569  0.00964889
         292    -1.49749    -1.50566  0.00961588
         293    -1.49999    -1.50564  0.00958308
         294    -1.50306    -1.50564  0.00955049
         295    -1.50665    -1.50564  0.00951812
         296    -1.51075    -1.50566  0.00948598
         297    -1.51533    -1.50569   0.0094541
         298    -1.52036    -1.50574   0.0094225
         299     -1.5258    -1.50581  0.00939122
         300    -1.53163    -1.50589  0.00936031
         301     -1.5378      -1.506  0.00932982
         302    -1.54428    -1.50612  0.00929979
         303    -1.55106    -1.50627  0.00927028
         304    -1.55807    -1.50644  0.00924135
         305    -1.56532    -1.50664  0.00921306
         306    -1.57275    -1.50685  0.00918549
         307    -1.58032    -1.50709  0.00915868
         308    -1.58803    -1.50735  0.00913272
         309    -1.59584    -1.50764  0.00910765
         310    -1.60372    -1.50795  0.00908354
         311    -1.61165    -1.50828  0.00906046
         312    -1.61959    -1.50864  0.00903844
         313    -1.62753    -1.50902  0.00901754
         314    -1.63546    -1.50942   0.0089978
         315    -1.64335    -1.50985  0.00897928
         316    -1.65116     -1.5103  0.00896199
         317    -1.65892    -1.51076  0.00894598
         318    -1.66656    -1.51125  0.00893125
         319     -1.6741    -1.51176  0.00891783
         320     -1.6815    -1.51229  0.00890572
         321    -1.68877    -1.51284  0.00889493
         322    -1.69588    -1.51341  0.00888545
         323    -1.70282      -1.514  0.00887727
         324    -1.70958     -1.5146  0.00887037
         325    -1.71614    -1.51522  0.00886473
         326     -1.7225    -1.51586  0.00886031
         327    -1.72866    -1.51651  0.00885708
         328     -1.7346    -1.51717    0.008855
         329     -1.7403    -1.51785  0.00885401
         330    -1.74578    -1.51854  0.00885408
         331    -1.75102    -1.51925  0.00885515
         332    -1.75601    -1.51996  0.00885715
         333    -1.76076    -1.52068  0.00886002
         334    -1.76527    -1.52141   0.0088637
         335    -1.76951    -1.52216  0.00886813
         336     -1.7735     -1.5229  0.00887323
         337    -1.77723    -1.52366  0.00887893
         338    -1.78071    -1.52442  0.00888517
         339    -1.78393    -1.52518  0.00889188
         340     -1.7869    -1.52595  0.00889898
         341    -1.78962    -1.52673  0.00890641
         342     -1.7921     -1.5275  0.00891411
         343    -1.79433    -1.52828    0.008922
         344    -1.79632    -1.52906  0.00893002
         345    -1.79807    -1.52984  0.00893811
         346    -1.79959    -1.53062  0.00894622
         347    -1.80089     -1.5314  0.00895427
         348    -1.80196    -1.53218  0.00896223
         349    -1.80283    -1.53295  0.00897004
         350    -1.80348    -1.53372  0.00897766
         351    -1.80394    -1.53449  0.00898503
         352     -1.8042    -1.53526  0.00899211
         353    -1.80428    -1.53602  0.00899888
         354    -1.80418    -1.53678  0.00900528
         355    -1.80392    -1.53753   0.0090113
         356    -1.80349    -1.53828   0.0090169
         357    -1.80291    -1.53902  0.00902206
         358    -1.80219    -1.53976  0.00902676
         359    -1.80132    -1.54048  0.00903097
         360    -1.80033    -1.54121  0.00903468
         361    -1.79922    -1.54192  0.00903788
         362    -1.79799    -1.54263  0.00904056
         363    -1.79664    -1.54333  0.00904269
         364    -1.79521    -1.54402  0.00904429
         365    -1.79367     -1.5447  0.00904534
         366    -1.79206    -1.54538  0.00904583
         367    -1.79036    -1.54605  0.00904578
         368    -1.78859    -1.54671  0.00904518
         369    -1.78676    -1.54736  0.00904403
         370    -1.78486      -1.548  0.00904234
         371    -1.78289    -1.54863   0.0090401
         372    -1.78088    -1.54926  0.00903733
         373     -1.7788    -1.54987  0.00903403
         374    -1.77668    -1.55048  0.00903021
         375    -1.77452    -1.55108  0.00902587
         376    -1.77231    -1.55166  0.00902103
         377    -1.77005    -1.55224  0.00901568
         378    -1.76776    -1.55281  0.00900984
         379    -1.76541    -1.55337  0.00900351
         380    -1.76303    -1.55393   0.0089967
         381     -1.7606    -1.55447  0.00898943
         382    -1.75812      -1.555  0.00898169
         383    -1.75558    -1.55553  0.00897349
         384    -1.75299    -1.55604  0.00896485
         385    -1.75034    -1.55654  0.00895576
         386    -1.74763    -1.55704  0.00894623
         387    -1.74485    -1.55752  0.00893626
         388      -1.742      -1.558  0.00892587
         389    -1.73906    -1.55847  0.00891505
         390    -1.73604    -1.55892  0.00890381
         391    -1.73292    -1.55937  0.00889216
         392    -1.72968     -1.5598  0.00888008
         393    -1.72634    -1.56022  0.00886759
         394    -1.72288    -1.56064  0.00885469
         395    -1.71928    -1.56104  0.00884138
         396    -1.71555    -1.56143  0.00882765
         397    -1.71167    -1.56181  0.00881353
         398    -1.70763    -1.56217  0.00879899
         399    -1.70342    -1.56253  0.00878406
         400    -1.69902    -1.56287  0.00876872
         401    -1.69444     -1.5632  0.00875299
         402    -1.68966    -1.56351  0.00873687
         403    -1.68468    -1.56381  0.00872036
         404    -1.67949     -1.5641  0.00870348
         405    -1.67408    -1.56437  0.00868622
         406    -1.66846    -1.56463  0.00866861
         407    -1.66259    -1.56487  0.00865065
         408     -1.6565    -1.56509  0.00863237
         409    -1.65018     -1.5653  0.00861377
         410    -1.64362    -1.56549  0.00859488
         411    -1.63684    -1.56566  0.00857572
         412    -1.62984    -1.56582  0.00855632
         413    -1.62263    -1.56596   0.0085367
         414    -1.61521    -1.56608  0.00851691
         415     -1.6076    -1.56618  0.00849698
         416    -1.59981    -1.56626  0.00847694
         417    -1.59186    -1.56632  0.00845683
         418    -1.58379    -1.56636   0.0084367
         419    -1.57559    -1.56638   0.0084166
         420    -1.56731    -1.56638  0.00839656
         421    -1.55897    -1.56637  0.00837663
         422     -1.5506    -1.56633  0.00835686
         423    -1.54224    -1.56627   0.0083373
         424    -1.53392     -1.5662  0.00831799
         425    -1.52567     -1.5661  0.00829896
