# VELOCITY:     AVE_POFV:        ERROR:
    0.471405    0.103029   0.0114635
    0.659966    0.158468  0.00958192
    0.848528    0.253612   0.0151847
     1.03709    0.345819   0.0198021
     1.22565    0.423257   0.0229746
     1.41421    0.516555   0.0236334
     1.60278    0.507026   0.0210382
     1.79134    0.531799   0.0218452
      1.9799    0.455893    0.019015
     2.16846    0.395236   0.0217868
     2.35702    0.355532   0.0147633
     2.54558     0.31568   0.0302329
     2.73415    0.248752   0.0188296
     2.92271    0.177119   0.0184875
     3.11127    0.174695   0.0108589
     3.29983    0.104963   0.0117615
     3.48839   0.0791477  0.00976199
     3.67696   0.0581057  0.00643593
     3.86552   0.0314285  0.00447568
     4.05408   0.0198115  0.00520738
     4.24264  0.00653984  0.00268954
      4.4312  0.00339417   0.0016043
     4.61976  0.00156242 0.000955974
     4.80833 0.000535687 0.000510757
     4.99689 0.000169634  0.00016174
     5.18545 0.000117554 0.000112083
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00375241 0.000900264
    0.282843   0.0325496  0.00397856
    0.471405    0.104752    0.010637
    0.659966    0.163067  0.00982525
    0.848528    0.260068   0.0152299
     1.03709    0.345316   0.0181583
     1.22565    0.418744   0.0214987
     1.41421    0.512704   0.0219755
     1.60278    0.507711   0.0192962
     1.79134    0.526628   0.0206277
      1.9799    0.453011   0.0176476
     2.16846     0.39847   0.0202099
     2.35702    0.357685   0.0136891
     2.54558    0.319368   0.0279376
     2.73415    0.250269   0.0173214
     2.92271    0.177436   0.0169496
     3.11127    0.169512   0.0111223
     3.29983    0.104853   0.0107819
     3.48839   0.0803229  0.00901894
     3.67696   0.0578835  0.00590344
     3.86552   0.0296415  0.00444516
     4.05408   0.0182642  0.00499803
     4.24264  0.00599486  0.00252002
      4.4312  0.00311132  0.00149534
     4.61976  0.00143222 0.000885132
     4.80833 0.000491046 0.000470141
     4.99689 0.000155498 0.000148878
     5.18545 0.000107757  0.00010317
     5.37401           0           0
     5.56257           0           0
   0.0942809   0.0034965 0.000866623
    0.282843   0.0334466  0.00377228
    0.471405    0.106479  0.00995788
    0.659966    0.160484  0.00940284
    0.848528    0.255727    0.014664
     1.03709    0.341562   0.0171452
     1.22565    0.414233   0.0203127
     1.41421    0.506187   0.0212295
     1.60278    0.507172   0.0178194
     1.79134    0.519491   0.0202381
      1.9799    0.467222   0.0212553
     2.16846    0.415871   0.0250501
     2.35702    0.366926   0.0154435
     2.54558    0.324918   0.0263339
     2.73415    0.252375   0.0161166
     2.92271    0.172488   0.0163519
     3.11127    0.164252   0.0114429
     3.29983    0.101672   0.0104114
