# DISTANCE:     AVE_GOFR:        ERROR:
     1.83395    0.935121  0.00338787
      1.8596    0.973059  0.00401503
     1.88525     1.01784   0.0042569
      1.9109     1.05824  0.00284263
     1.93655       1.094  0.00463694
      1.9622     1.12823  0.00376103
     1.98785     1.15863  0.00316485
      2.0135     1.18286  0.00279006
     2.03915     1.20295  0.00197643
      2.0648     1.21668  0.00226704
     2.09045     1.21732  0.00189957
      2.1161       1.211  0.00267163
     2.14174     1.19598  0.00192441
     2.16739      1.1777  0.00240359
     2.19304     1.15319  0.00124713
     2.21869     1.12784  0.00197257
     2.24434     1.10007  0.00383232
     2.26999     1.06851  0.00191425
     2.29564     1.04231  0.00347515
     2.32129     1.01609  0.00331838
     2.34694    0.993334  0.00398883
     2.37259    0.972686  0.00285725
     2.39824    0.949144  0.00287485
     2.42389    0.933555  0.00254564
     2.44954    0.918902  0.00232878
     2.47519    0.907759  0.00234134
     2.50084    0.894309  0.00117534
     2.52649    0.884443  0.00163084
     2.55214    0.885929    0.001482
