#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         455     1.59678     1.59625 4.76201e-05
         456     1.59679     1.59625 4.75304e-05
         457      1.5968     1.59625 4.74416e-05
         458      1.5968     1.59625 4.73535e-05
         459     1.59681     1.59625 4.72662e-05
         460     1.59682     1.59625 4.71795e-05
         461     1.59682     1.59625 4.70935e-05
         462     1.59683     1.59625 4.70081e-05
         463     1.59683     1.59626 4.69229e-05
         464     1.59683     1.59626 4.68382e-05
         465     1.59683     1.59626 4.67536e-05
         466     1.59683     1.59626 4.66694e-05
         467     1.59683     1.59626 4.65854e-05
         468     1.59683     1.59626  4.6502e-05
         469     1.59684     1.59626 4.64189e-05
         470     1.59683     1.59626  4.6336e-05
         471     1.59683     1.59627 4.62534e-05
         472     1.59683     1.59627 4.61709e-05
         473     1.59683     1.59627 4.60886e-05
         474     1.59683     1.59627 4.60066e-05
         475     1.59683     1.59627 4.59247e-05
         476     1.59683     1.59627  4.5843e-05
         477     1.59682     1.59627 4.57615e-05
         478     1.59682     1.59627 4.56801e-05
         479     1.59682     1.59627 4.55989e-05
         480     1.59681     1.59628 4.55178e-05
         481     1.59681     1.59628 4.54368e-05
         482     1.59681     1.59628 4.53558e-05
         483      1.5968     1.59628  4.5275e-05
         484      1.5968     1.59628 4.51943e-05
         485     1.59681     1.59628 4.51141e-05
         486     1.59681     1.59628 4.50343e-05
         487     1.59681     1.59628 4.49549e-05
         488     1.59681     1.59628 4.48757e-05
         489     1.59682     1.59629 4.47971e-05
         490     1.59682     1.59629  4.4719e-05
         491     1.59682     1.59629  4.4641e-05
         492     1.59682     1.59629 4.45635e-05
         493     1.59682     1.59629 4.44863e-05
         494     1.59682     1.59629 4.44094e-05
         495     1.59683     1.59629  4.4333e-05
         496     1.59683     1.59629 4.42571e-05
         497     1.59684     1.59629 4.41819e-05
         498     1.59685      1.5963 4.41072e-05
         499     1.59685      1.5963 4.40329e-05
         500     1.59686      1.5963 4.39592e-05
         501     1.59687      1.5963 4.38865e-05
         502     1.59689      1.5963 4.38146e-05
         503      1.5969      1.5963 4.37436e-05
         504     1.59691      1.5963 4.36734e-05
         505     1.59692      1.5963  4.3604e-05
         506     1.59693     1.59631 4.35355e-05
         507     1.59694     1.59631 4.34678e-05
         508     1.59695     1.59631 4.34009e-05
         509     1.59697     1.59631  4.3335e-05
         510     1.59698     1.59631 4.32699e-05
         511     1.59699     1.59631 4.32054e-05
         512       1.597     1.59631 4.31417e-05
         513     1.59701     1.59631 4.30792e-05
         514     1.59702     1.59632 4.30176e-05
         515     1.59703     1.59632 4.29567e-05
         516     1.59704     1.59632 4.28964e-05
         517     1.59704     1.59632 4.28363e-05
         518     1.59705     1.59632 4.27767e-05
         519     1.59705     1.59632 4.27172e-05
         520     1.59704     1.59632 4.26576e-05
         521     1.59704     1.59633 4.25979e-05
         522     1.59704     1.59633 4.25383e-05
         523     1.59704     1.59633 4.24787e-05
