#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         380     1.90499     1.92517  0.00160741
         381     1.90525     1.92511  0.00160404
         382     1.90559     1.92506  0.00160066
         383     1.90601     1.92501  0.00159725
         384     1.90653     1.92497  0.00159382
         385     1.90713     1.92492  0.00159035
         386     1.90783     1.92488  0.00158685
         387     1.90861     1.92483   0.0015833
         388     1.90948     1.92479  0.00157972
         389     1.91043     1.92476  0.00157609
         390     1.91146     1.92472  0.00157242
         391     1.91257     1.92469   0.0015687
         392     1.91375     1.92466  0.00156495
         393       1.915     1.92464  0.00156116
         394     1.91631     1.92462  0.00155734
         395     1.91768      1.9246   0.0015535
         396     1.91911     1.92459  0.00154964
         397     1.92058     1.92458  0.00154577
         398     1.92209     1.92457  0.00154189
         399     1.92363     1.92457  0.00153803
         400      1.9252     1.92457  0.00153419
         401     1.92679     1.92457  0.00153037
         402      1.9284     1.92458  0.00152659
         403     1.93001      1.9246  0.00152287
         404     1.93162     1.92462   0.0015192
         405     1.93322     1.92464  0.00151559
         406     1.93482     1.92466  0.00151207
         407     1.93639     1.92469  0.00150863
         408     1.93795     1.92472  0.00150528
         409     1.93947     1.92476  0.00150203
         410     1.94097      1.9248  0.00149889
         411     1.94243     1.92484  0.00149585
         412     1.94385     1.92489  0.00149293
         413     1.94522     1.92494  0.00149013
         414     1.94655     1.92499  0.00148745
         415     1.94783     1.92504  0.00148488
         416     1.94906      1.9251  0.00148243
         417     1.95023     1.92516   0.0014801
         418     1.95136     1.92522  0.00147789
         419     1.95242     1.92529  0.00147578
         420     1.95343     1.92536  0.00147379
         421     1.95438     1.92543   0.0014719
         422     1.95527      1.9255  0.00147011
         423     1.95611     1.92557  0.00146842
         424     1.95688     1.92564  0.00146681
         425      1.9576     1.92572  0.00146528
         426     1.95827     1.92579  0.00146384
         427     1.95888     1.92587  0.00146246
         428     1.95943     1.92595  0.00146114
         429     1.95993     1.92603  0.00145988
         430     1.96037     1.92611  0.00145867
         431     1.96077     1.92619   0.0014575
         432     1.96112     1.92627  0.00145636
         433     1.96141     1.92635  0.00145526
         434     1.96166     1.92643  0.00145418
         435     1.96187     1.92651  0.00145312
         436     1.96203      1.9266  0.00145207
         437     1.96215     1.92668  0.00145102
         438     1.96224     1.92676  0.00144998
         439     1.96228     1.92684  0.00144893
         440     1.96229     1.92692  0.00144788
         441     1.96226       1.927  0.00144681
         442     1.96221     1.92708  0.00144573
         443     1.96212     1.92716  0.00144463
         444       1.962     1.92724   0.0014435
         445     1.96185     1.92731  0.00144235
         446     1.96168     1.92739  0.00144118
         447     1.96149     1.92747  0.00143997
         448     1.96128     1.92754  0.00143873
         449     1.96104     1.92762  0.00143746
         450     1.96079     1.92769  0.00143615
         451     1.96052     1.92776  0.00143481
         452     1.96023     1.92784  0.00143344
         453     1.95993     1.92791  0.00143202
         454     1.95961     1.92798  0.00143057
         455     1.95929     1.92805  0.00142908
         456     1.95895     1.92811  0.00142755
         457      1.9586     1.92818  0.00142598
         458     1.95825     1.92825  0.00142438
         459     1.95789     1.92831  0.00142274
         460     1.95752     1.92837  0.00142106
         461     1.95714     1.92844  0.00141935
         462     1.95677      1.9285   0.0014176
         463     1.95639     1.92856  0.00141582
         464       1.956     1.92862    0.001414
         465     1.95561     1.92868  0.00141215
         466     1.95523     1.92873  0.00141027
         467     1.95484     1.92879  0.00140836
         468     1.95445     1.92884  0.00140642
         469     1.95406      1.9289  0.00140445
         470     1.95367     1.92895  0.00140245
         471     1.95328       1.929  0.00140042
         472      1.9529     1.92905  0.00139837
